Order ID,Order Date,CustomerName,State,Region,DoW,Sale Price,Cost per Item,PaymentMode,Category,Sub-category,Quantity,Profit,Profitability
B-25652,2023-05-08,Jordan,Massachusetts,NE,Monday,174.00,81.33,Credit Card,Electronics,Accessories,3,278.01,Low
B-25652,2023-05-08,Jordan,Massachusetts,NE,Monday,206.00,137.33,Credit Card,Clothing,Dress,3,206.01,Low
B-25652,2023-05-08,Jordan,Massachusetts,NE,Monday,21.00,11.33,Eft,Clothing,Leggings,3,29.01,Low
B-25652,2023-05-08,Jordan,Massachusetts,NE,Monday,24.00,6.43,Credit Card,Clothing,Skirt,7,122.99,Low
B-25652,2023-05-08,Jordan,Massachusetts,NE,Monday,25.00,5.40,Eft,Clothing,Hat,5,98.00,Low
B-25652,2023-05-08,Jordan,Massachusetts,NE,Monday,34.00,10.00,Credit Card,Clothing,Leggings,4,96.00,Low
B-25652,2023-05-08,Jordan,Massachusetts,NE,Monday,9.00,7.50,Credit Card,Clothing,Hat,2,3.00,Low
B-26014,2023-02-13,Harris,New York,NE,Monday,278.00,47.80,Debit Card,Furniture,Chairs,5,1151.00,Avg
B-26014,2023-02-13,Harris,New York,NE,Monday,406.00,44.14,Cod,Furniture,Chairs,7,2533.02,High
B-25755,2023-08-19,Douglas,Virginia,NE,Saturday,134.00,84.00,Credit Card,Furniture,Chairs,2,100.00,Low
B-25755,2023-08-19,Douglas,Virginia,NE,Saturday,1709.00,381.67,Cod,Clothing,Pants,3,3981.99,High
B-25755,2023-08-19,Douglas,Virginia,NE,Saturday,257.00,130.00,Eft,Furniture,Bookcases,2,254.00,Low
B-25755,2023-08-19,Douglas,Virginia,NE,Saturday,26.00,11.00,Eft,Clothing,Dress,2,30.00,Low
B-25755,2023-08-19,Douglas,Virginia,NE,Saturday,321.00,1.20,Eft,Clothing,Dress,5,1599.00,Avg
B-25755,2023-08-19,Douglas,Virginia,NE,Saturday,37.00,30.00,Cod,Clothing,Dress,3,21.00,Low
B-25755,2023-08-19,Douglas,Virginia,NE,Saturday,47.00,25.00,Eft,Clothing,Scarf,2,44.00,Low
B-25755,2023-08-19,Douglas,Virginia,NE,Saturday,593.00,95.00,Debit Card,Furniture,Bookcases,4,1992.00,Avg
B-25755,2023-08-19,Douglas,Virginia,NE,Saturday,80.00,19.80,Eft,Clothing,Scarf,5,301.00,Low
B-25784,2023-09-15,Walsh,New York,NE,Friday,15.00,11.00,Debit Card,Clothing,Hat,1,4.00,Low
B-25665,2023-05-21,Robertson,Virginia,NE,Sunday,166.00,69.75,Eft,Electronics,Accessories,4,385.00,Low
B-26050,2023-03-06,Watson,New York,NE,Monday,166.00,69.50,Eft,Electronics,Accessories,2,193.00,Low
B-26050,2023-03-06,Watson,New York,NE,Monday,169.00,28.50,Debit Card,Clothing,Dress,4,562.00,Low
B-26050,2023-03-06,Watson,New York,NE,Monday,284.00,40.00,Credit Card,Clothing,Hat,6,1464.00,Avg
B-26050,2023-03-06,Watson,New York,NE,Monday,32.00,8.67,Eft,Clothing,Shirt,3,69.99,Low
B-26050,2023-03-06,Watson,New York,NE,Monday,325.00,41.86,Credit Card,Clothing,T - Shirt,7,1981.98,Avg
B-26050,2023-03-06,Watson,New York,NE,Monday,38.00,14.50,Credit Card,Clothing,Scarf,2,47.00,Low
B-26050,2023-03-06,Watson,New York,NE,Monday,382.00,145.00,Credit Card,Electronics,Printers,2,474.00,Low
B-26050,2023-03-06,Watson,New York,NE,Monday,487.00,86.00,Eft,Electronics,Phones,4,1604.00,Avg
B-26050,2023-03-06,Watson,New York,NE,Monday,79.00,15.67,Debit Card,Clothing,Dress,3,189.99,Low
B-25867,2023-11-17,Martin,Maryland,NE,Friday,163.00,34.25,Credit Card,Clothing,Shirt,4,515.00,Low
B-25867,2023-11-17,Martin,Maryland,NE,Friday,240.00,38.00,Eft,Clothing,Shirt,6,1212.00,Avg
B-25867,2023-11-17,Martin,Maryland,NE,Friday,31.00,5.67,Eft,Clothing,Scarf,3,75.99,Low
B-25998,2023-02-04,Ruiz,New York,NE,Saturday,50.00,15.60,Credit Card,Furniture,Furnishings,5,172.00,Low
B-26095,2023-03-28,Wright,New York,NE,Tuesday,6.00,5.00,Eft,Clothing,Shirt,1,1.00,Low
B-26021,2023-02-17,Hernandez,Virginia,NE,Friday,122.00,9.00,Credit Card,Furniture,Furnishings,7,791.00,Low
B-26021,2023-02-17,Hernandez,Virginia,NE,Friday,21.00,11.00,Debit Card,Clothing,Hat,3,30.00,Low
B-26021,2023-02-17,Hernandez,Virginia,NE,Friday,49.00,28.00,Eft,Clothing,Scarf,1,21.00,Low
B-25611,2023-04-11,Hernandez,Virginia,NE,Tuesday,160.00,109.50,Eft,Clothing,Dress,2,101.00,Low
B-25943,2023-01-09,Pearson,Pennsylvania,NE,Monday,137.00,19.80,Debit Card,Clothing,Hat,5,586.00,Low
B-25943,2023-01-09,Pearson,Pennsylvania,NE,Monday,149.00,44.67,Debit Card,Clothing,Dress,3,312.99,Low
B-25943,2023-01-09,Pearson,Pennsylvania,NE,Monday,1547.00,201.17,Eft,Electronics,Accessories,6,8074.98,High
B-25943,2023-01-09,Pearson,Pennsylvania,NE,Monday,26.00,4.75,Credit Card,Clothing,Hat,4,85.00,Low
B-25943,2023-01-09,Pearson,Pennsylvania,NE,Monday,48.00,7.00,Eft,Clothing,Scarf,4,164.00,Low
B-25799,2023-10-01,Moreno,Pennsylvania,NE,Sunday,205.00,108.00,Debit Card,Clothing,Dress,3,291.00,Low
B-25799,2023-10-01,Moreno,Pennsylvania,NE,Sunday,45.00,30.00,Credit Card,Furniture,Chairs,2,30.00,Low
B-25799,2023-10-01,Moreno,Pennsylvania,NE,Sunday,47.00,18.50,Eft,Clothing,Dress,4,114.00,Low
B-25799,2023-10-01,Moreno,Pennsylvania,NE,Sunday,70.00,26.80,Eft,Clothing,Scarf,5,216.00,Low
B-25849,2023-11-04,Hart,Maryland,NE,Saturday,336.00,71.00,Eft,Electronics,Phones,3,795.00,Low
B-25853,2023-11-08,Nguyen,Pennsylvania,NE,Wednesday,128.00,41.33,Credit Card,Clothing,Dress,3,260.01,Low
B-25853,2023-11-08,Nguyen,Pennsylvania,NE,Wednesday,199.00,37.75,Eft,Clothing,Scarf,4,645.00,Low
B-25853,2023-11-08,Nguyen,Pennsylvania,NE,Wednesday,199.00,96.50,Eft,Clothing,Dress,2,205.00,Low
B-25853,2023-11-08,Nguyen,Pennsylvania,NE,Wednesday,2093.00,274.40,Cod,Furniture,Chairs,5,9093.00,High
B-25853,2023-11-08,Nguyen,Pennsylvania,NE,Wednesday,26.00,7.50,Eft,Clothing,Hat,2,37.00,Low
B-25853,2023-11-08,Nguyen,Pennsylvania,NE,Wednesday,30.00,5.33,Eft,Clothing,Hat,3,74.01,Low
B-25853,2023-11-08,Nguyen,Pennsylvania,NE,Wednesday,39.00,3.83,Eft,Clothing,Skirt,6,211.02,Low
