Order ID,Order Date,CustomerName,State,Region,DoW,Sale Price,Cost per Item,PaymentMode,Category,Sub-category,Quantity,Profit,Profitability
B-25907,2023-12-11,Hansen,Florida,SE,Monday,30.00,3.80,Credit Card,Clothing,Hat,5,131.00,Low
B-26051,2023-03-07,Brooks,Georgia,SE,Tuesday,1337.00,170.00,Cod,Electronics,Printers,7,8169.00,High
B-26051,2023-03-07,Brooks,Georgia,SE,Tuesday,184.00,16.50,Eft,Clothing,T - Shirt,6,1005.00,Avg
B-26051,2023-03-07,Brooks,Georgia,SE,Tuesday,216.00,41.50,Credit Card,Clothing,Scarf,4,698.00,Low
B-26051,2023-03-07,Brooks,Georgia,SE,Tuesday,382.00,131.50,Cod,Clothing,Dress,2,501.00,Low
B-26051,2023-03-07,Brooks,Georgia,SE,Tuesday,490.00,201.00,Eft,Electronics,Accessories,2,578.00,Low
B-26051,2023-03-07,Brooks,Georgia,SE,Tuesday,600.00,140.40,Debit Card,Electronics,Electronic Games,5,2298.00,High
B-26051,2023-03-07,Brooks,Georgia,SE,Tuesday,669.00,119.00,Credit Card,Furniture,Bookcases,5,2750.00,High
B-26051,2023-03-07,Brooks,Georgia,SE,Tuesday,676.00,96.20,Debit Card,Furniture,Bookcases,5,2899.00,High
B-26051,2023-03-07,Brooks,Georgia,SE,Tuesday,80.00,19.33,Eft,Clothing,Scarf,3,182.01,Low
B-26051,2023-03-07,Brooks,Georgia,SE,Tuesday,85.00,6.10,Debit Card,Clothing,Hat,10,789.00,Low
B-25765,2023-08-29,Willis,Florida,SE,Tuesday,139.00,41.67,Credit Card,Clothing,Scarf,3,291.99,Low
B-25981,2023-01-28,Murray,North Carolina,SE,Saturday,245.00,77.00,Eft,Furniture,Bookcases,2,336.00,Low
B-25981,2023-01-28,Murray,North Carolina,SE,Saturday,42.00,9.67,Credit Card,Clothing,Leggings,3,96.99,Low
B-25981,2023-01-28,Murray,North Carolina,SE,Saturday,48.00,15.33,Credit Card,Clothing,Scarf,3,98.01,Low
B-25981,2023-01-28,Murray,North Carolina,SE,Saturday,54.00,14.00,Debit Card,Clothing,Dress,3,120.00,Low
B-25981,2023-01-28,Murray,North Carolina,SE,Saturday,62.00,27.00,Eft,Clothing,T - Shirt,2,70.00,Low
B-25981,2023-01-28,Murray,North Carolina,SE,Saturday,867.00,123.20,Credit Card,Electronics,Phones,5,3719.00,High
B-26002,2023-02-08,Clark,North Carolina,SE,Wednesday,113.00,42.50,Eft,Clothing,Dress,2,141.00,Low
B-26002,2023-02-08,Clark,North Carolina,SE,Wednesday,141.00,19.14,Credit Card,Clothing,Dress,7,853.02,Low
B-26002,2023-02-08,Clark,North Carolina,SE,Wednesday,276.00,44.80,Eft,Clothing,Dress,5,1156.00,Avg
B-26002,2023-02-08,Clark,North Carolina,SE,Wednesday,71.00,17.33,Credit Card,Clothing,T - Shirt,3,161.01,Low
B-26002,2023-02-08,Clark,North Carolina,SE,Wednesday,80.00,19.33,Debit Card,Clothing,Scarf,3,182.01,Low
B-25827,2023-10-23,Davis,Florida,SE,Monday,156.00,45.00,Credit Card,Furniture,Chairs,3,333.00,Low
B-25859,2023-11-14,Holmes,Florida,SE,Tuesday,724.00,235.50,Eft,Furniture,Bookcases,2,977.00,Low
B-25905,2023-12-11,Wagner,North Carolina,SE,Monday,152.00,17.00,Eft,Clothing,Scarf,6,810.00,Low
B-25803,2023-10-05,Rios,Florida,SE,Thursday,106.00,31.33,Cod,Clothing,Pants,3,224.01,Low
B-25803,2023-10-05,Rios,Florida,SE,Thursday,137.00,26.40,Credit Card,Clothing,Shirt,5,553.00,Low
B-25803,2023-10-05,Rios,Florida,SE,Thursday,185.00,34.25,Cod,Clothing,Scarf,4,603.00,Low
B-25803,2023-10-05,Rios,Florida,SE,Thursday,269.00,178.00,Credit Card,Electronics,Electronic Games,1,91.00,Low
B-25803,2023-10-05,Rios,Florida,SE,Thursday,511.00,105.67,Eft,Furniture,Chairs,3,1215.99,Avg
B-25803,2023-10-05,Rios,Florida,SE,Thursday,536.00,445.00,Credit Card,Clothing,Pants,1,91.00,Low
B-25803,2023-10-05,Rios,Florida,SE,Thursday,757.00,193.00,Cod,Electronics,Printers,2,1128.00,Avg
B-25803,2023-10-05,Rios,Florida,SE,Thursday,765.00,126.17,Eft,Clothing,Dress,6,3832.98,High
B-25703,2023-06-28,Flores,Florida,SE,Wednesday,17.00,10.00,Eft,Clothing,Scarf,2,14.00,Low
B-25703,2023-06-28,Flores,Florida,SE,Wednesday,186.00,-6.11,Cod,Clothing,Shirt,9,1728.99,Avg
B-25703,2023-06-28,Flores,Florida,SE,Wednesday,22.00,9.25,Credit Card,Clothing,Shirt,4,51.00,Low
B-25703,2023-06-28,Flores,Florida,SE,Wednesday,231.00,46.78,Credit Card,Clothing,Hat,9,1657.98,Avg
B-25703,2023-06-28,Flores,Florida,SE,Wednesday,32.00,7.40,Eft,Clothing,Hat,5,123.00,Low
B-25703,2023-06-28,Flores,Florida,SE,Wednesday,42.00,32.50,Eft,Furniture,Furnishings,2,19.00,Low
B-25703,2023-06-28,Flores,Florida,SE,Wednesday,47.00,18.50,Credit Card,Clothing,Dress,4,114.00,Low
B-25703,2023-06-28,Flores,Florida,SE,Wednesday,97.00,35.50,Credit Card,Clothing,Dress,4,246.00,Low
B-26076,2023-03-21,Walker,Florida,SE,Tuesday,133.00,17.40,Eft,Clothing,Shirt,5,578.00,Low
B-26076,2023-03-21,Walker,Florida,SE,Tuesday,219.00,107.50,Credit Card,Clothing,Dress,2,223.00,Low
B-26076,2023-03-21,Walker,Florida,SE,Tuesday,450.00,160.00,Credit Card,Furniture,Bookcases,4,1160.00,Avg
B-26076,2023-03-21,Walker,Florida,SE,Tuesday,60.00,23.50,Credit Card,Clothing,T - Shirt,2,73.00,Low
B-26076,2023-03-21,Walker,Florida,SE,Tuesday,91.00,34.50,Eft,Clothing,Scarf,2,113.00,Low
B-25657,2023-05-13,Patterson,Florida,SE,Saturday,1021.00,267.25,Eft,Electronics,Electronic Games,4,3015.00,High
B-25657,2023-05-13,Patterson,Florida,SE,Saturday,288.00,117.00,Credit Card,Furniture,Chairs,4,684.00,Low
