Order ID,Order Date,CustomerName,State,Region,DoW,Sale Price,Cost per Item,PaymentMode,Category,Sub-category,Quantity,Profit,Profitability
B-25756,2023-08-20,Ward,California,WE,Sunday,204.00,-24.00,Credit Card,Furniture,Bookcases,3,684.00,Low
B-25756,2023-08-20,Ward,California,WE,Sunday,29.00,13.25,Credit Card,Clothing,Leggings,4,63.00,Low
B-25756,2023-08-20,Ward,California,WE,Sunday,465.00,124.50,Eft,Electronics,Phones,4,1362.00,Avg
B-25756,2023-08-20,Ward,California,WE,Sunday,643.00,344.00,Debit Card,Electronics,Printers,2,598.00,Low
B-25756,2023-08-20,Ward,California,WE,Sunday,729.00,244.20,Eft,Furniture,Bookcases,5,2424.00,High
B-25884,2023-11-28,Rhodes,California,WE,Tuesday,24.00,5.50,Credit Card,Clothing,Hat,4,74.00,Low
B-25778,2023-09-11,Campbell,California,WE,Monday,109.00,19.17,Credit Card,Clothing,Dress,6,538.98,Low
B-25778,2023-09-11,Campbell,California,WE,Monday,1506.00,295.33,Cod,Electronics,Printers,6,7264.02,High
B-25778,2023-09-11,Campbell,California,WE,Monday,724.00,292.75,Eft,Electronics,Electronic Games,4,1725.00,Avg
B-25778,2023-09-11,Campbell,California,WE,Monday,933.00,153.40,Cod,Clothing,Dress,5,3898.00,High
B-26091,2023-03-27,Sanchez,Washington,WE,Monday,158.00,29.67,Eft,Clothing,Scarf,3,384.99,Low
B-26091,2023-03-27,Sanchez,Washington,WE,Monday,29.00,4.75,Eft,Clothing,Hat,4,97.00,Low
B-26091,2023-03-27,Sanchez,Washington,WE,Monday,59.00,12.25,Credit Card,Clothing,Leggings,4,187.00,Low
B-25834,2023-10-29,Ford,Washington,WE,Sunday,16.00,11.00,Eft,Clothing,Scarf,1,5.00,Low
B-25644,2023-04-30,Gomez,California,WE,Sunday,76.00,21.00,Credit Card,Furniture,Furnishings,8,440.00,Low
B-25923,2023-12-27,Weaver,California,WE,Wednesday,226.00,56.00,Credit Card,Electronics,Accessories,3,510.00,Low
B-25923,2023-12-27,Weaver,California,WE,Wednesday,253.00,264.00,Debit Card,Clothing,Pants,1,-11.00,Loss
B-25923,2023-12-27,Weaver,California,WE,Wednesday,3873.00,794.00,Cod,Electronics,Phones,6,18474.00,High
B-25923,2023-12-27,Weaver,California,WE,Wednesday,484.00,152.00,Debit Card,Electronics,Printers,3,996.00,Low
B-25805,2023-10-05,Martin,California,WE,Thursday,112.00,48.50,Credit Card,Furniture,Chairs,2,127.00,Low
B-26028,2023-02-20,Sanchez,Washington,WE,Monday,115.00,115.00,Debit Card,Electronics,Accessories,1,0.00,Loss
B-26028,2023-02-20,Sanchez,Washington,WE,Monday,1272.00,362.50,Credit Card,Electronics,Phones,2,1819.00,Avg
B-26028,2023-02-20,Sanchez,Washington,WE,Monday,77.00,20.50,Eft,Clothing,Shirt,2,113.00,Low
B-25931,2023-01-04,Guerrero,California,WE,Wednesday,73.00,36.33,Eft,Furniture,Chairs,3,110.01,Low
B-25726,2023-07-21,Bradley,California,WE,Friday,490.00,77.25,Eft,Furniture,Bookcases,8,3302.00,High
B-25837,2023-10-29,Austin,California,WE,Sunday,263.00,42.60,Credit Card,Clothing,Scarf,5,1102.00,Avg
B-25662,2023-05-17,Simmons,California,WE,Wednesday,24.00,13.00,Credit Card,Clothing,T - Shirt,2,22.00,Low
B-25662,2023-05-17,Simmons,California,WE,Wednesday,385.00,42.00,Eft,Furniture,Furnishings,11,3773.00,High
B-25662,2023-05-17,Simmons,California,WE,Wednesday,86.00,107.00,Eft,Electronics,Electronic Games,1,-21.00,Loss
B-25816,2023-10-12,Lane,Washington,WE,Thursday,391.00,34.75,Credit Card,Clothing,Scarf,8,2850.00,High
B-25656,2023-05-11,Jones,California,WE,Thursday,101.00,9.22,Credit Card,Clothing,Skirt,9,826.02,Low
B-25656,2023-05-11,Jones,California,WE,Thursday,13.00,4.67,Credit Card,Clothing,Hat,3,24.99,Low
B-25656,2023-05-11,Jones,California,WE,Thursday,1389.00,101.29,Credit Card,Clothing,Dress,7,9013.97,High
B-25656,2023-05-11,Jones,California,WE,Thursday,24.00,12.50,Credit Card,Clothing,Hat,2,23.00,Low
B-25656,2023-05-11,Jones,California,WE,Thursday,30.00,7.00,Eft,Clothing,Scarf,5,115.00,Low
B-25656,2023-05-11,Jones,California,WE,Thursday,406.00,140.00,Credit Card,Clothing,Dress,2,532.00,Low
B-25656,2023-05-11,Jones,California,WE,Thursday,534.00,178.00,Debit Card,Clothing,Dress,3,1068.00,Avg
B-25656,2023-05-11,Jones,California,WE,Thursday,56.00,19.00,Debit Card,Clothing,Hat,2,74.00,Low
B-25656,2023-05-11,Jones,California,WE,Thursday,6.00,3.00,Credit Card,Clothing,Hat,1,3.00,Low
B-25656,2023-05-11,Jones,California,WE,Thursday,61.00,42.00,Credit Card,Clothing,Dress,2,38.00,Low
B-25656,2023-05-11,Jones,California,WE,Thursday,624.00,293.50,Debit Card,Electronics,Electronic Games,2,661.00,Low
B-25656,2023-05-11,Jones,California,WE,Thursday,651.00,96.40,Credit Card,Electronics,Printers,5,2773.00,High
B-25948,2023-01-13,Carlson,California,WE,Friday,152.00,43.00,Credit Card,Furniture,Furnishings,3,327.00,Low
B-25689,2023-06-14,Gordon,California,WE,Wednesday,149.00,4.33,Eft,Clothing,Scarf,3,434.01,Low
B-25689,2023-06-14,Gordon,California,WE,Wednesday,469.00,309.33,Credit Card,Electronics,Electronic Games,3,479.01,Low
B-25689,2023-06-14,Gordon,California,WE,Wednesday,97.00,40.00,Cod,Clothing,Scarf,2,114.00,Low
B-26045,2023-03-03,Richardson,Arizona,WE,Friday,179.00,102.00,Eft,Clothing,Dress,1,77.00,Low
B-26045,2023-03-03,Richardson,Arizona,WE,Friday,27.00,22.00,Eft,Clothing,Scarf,1,5.00,Low
B-26045,2023-03-03,Richardson,Arizona,WE,Friday,302.00,37.83,Debit Card,Furniture,Furnishings,6,1585.02,Avg
B-26045,2023-03-03,Richardson,Arizona,WE,Friday,376.00,53.71,Cod,Clothing,Scarf,7,2256.03,High
B-25944,2023-01-10,Becker,California,WE,Tuesday,169.00,43.67,Debit Card,Clothing,Dress,3,375.99,Low
B-25776,2023-09-09,Vargas,California,WE,Saturday,47.00,33.50,Debit Card,Clothing,Shirt,2,27.00,Low
B-25854,2023-11-08,Johnson,California,WE,Wednesday,149.00,16.83,Credit Card,Clothing,Scarf,6,793.02,Low
B-25854,2023-11-08,Johnson,California,WE,Wednesday,342.00,70.86,Debit Card,Furniture,Furnishings,7,1897.98,Avg
B-25854,2023-11-08,Johnson,California,WE,Wednesday,381.00,118.50,Credit Card,Clothing,Dress,2,525.00,Low
B-25854,2023-11-08,Johnson,California,WE,Wednesday,40.00,8.00,Credit Card,Clothing,Hat,3,96.00,Low
B-25854,2023-11-08,Johnson,California,WE,Wednesday,436.00,33.89,Eft,Clothing,Hat,9,3618.99,High
B-25854,2023-11-08,Johnson,California,WE,Wednesday,53.00,18.33,Debit Card,Clothing,Dress,3,104.01,Low
B-25854,2023-11-08,Johnson,California,WE,Wednesday,76.00,19.00,Credit Card,Clothing,Hat,3,171.00,Low
B-25854,2023-11-08,Johnson,California,WE,Wednesday,88.00,18.00,Cod,Clothing,Scarf,4,280.00,Low
B-25872,2023-11-22,Morales,California,WE,Wednesday,57.00,15.00,Credit Card,Clothing,Shirt,2,84.00,Low
B-25691,2023-06-16,Griffin,California,WE,Friday,17.00,8.67,Credit Card,Clothing,Scarf,3,24.99,Low
B-25691,2023-06-16,Griffin,California,WE,Friday,714.00,164.50,Credit Card,Clothing,Dress,4,2198.00,High
B-25691,2023-06-16,Griffin,California,WE,Friday,75.00,33.33,Eft,Clothing,Scarf,3,125.01,Low
B-25946,2023-01-12,Morales,Washington,WE,Thursday,146.00,69.50,Debit Card,Electronics,Phones,2,153.00,Low
B-25751,2023-08-14,Obrien,California,WE,Monday,10.00,18.00,Eft,Clothing,Shirt,1,-8.00,Loss
B-25751,2023-08-14,Obrien,California,WE,Monday,106.00,53.00,Eft,Electronics,Phones,2,106.00,Low
B-25751,2023-08-14,Obrien,California,WE,Monday,14.00,8.50,Credit Card,Clothing,Leggings,2,11.00,Low
B-25751,2023-08-14,Obrien,California,WE,Monday,221.00,118.00,Credit Card,Electronics,Electronic Games,2,206.00,Low
B-25751,2023-08-14,Obrien,California,WE,Monday,32.00,8.33,Credit Card,Clothing,Hat,3,71.01,Low
B-25751,2023-08-14,Obrien,California,WE,Monday,43.00,24.00,Credit Card,Clothing,Dress,2,38.00,Low
B-25751,2023-08-14,Obrien,California,WE,Monday,43.00,7.33,Credit Card,Clothing,Shirt,3,107.01,Low
B-25751,2023-08-14,Obrien,California,WE,Monday,534.00,264.50,Debit Card,Electronics,Electronic Games,2,539.00,Low
B-25751,2023-08-14,Obrien,California,WE,Monday,65.00,11.50,Credit Card,Clothing,Hat,6,321.00,Low
B-25751,2023-08-14,Obrien,California,WE,Monday,68.00,62.00,Credit Card,Electronics,Phones,2,12.00,Low
B-25870,2023-11-20,Reyes,Washington,WE,Monday,10.00,6.00,Eft,Clothing,Shirt,1,4.00,Low
B-25870,2023-11-20,Reyes,Washington,WE,Monday,473.00,65.11,Eft,Clothing,Hat,9,3671.01,High
B-25870,2023-11-20,Reyes,Washington,WE,Monday,57.00,16.67,Credit Card,Furniture,Furnishings,3,120.99,Low
B-25870,2023-11-20,Reyes,Washington,WE,Monday,845.00,108.71,Cod,Clothing,Dress,7,5154.03,High
B-25744,2023-08-08,Boyd,Washington,WE,Tuesday,373.00,19.83,Eft,Electronics,Printers,6,2119.02,High
B-25740,2023-08-03,Walters,California,WE,Thursday,40.00,25.67,Credit Card,Clothing,Scarf,3,42.99,Low
B-25740,2023-08-03,Walters,California,WE,Thursday,58.00,33.00,Credit Card,Clothing,Dress,2,50.00,Low
B-25740,2023-08-03,Walters,California,WE,Thursday,7.00,3.50,Credit Card,Clothing,Skirt,2,7.00,Low
B-25836,2023-10-29,Freeman,California,WE,Sunday,1298.00,137.00,Eft,Electronics,Printers,9,10449.00,High
B-25779,2023-09-12,Banks,California,WE,Tuesday,1361.00,127.00,Credit Card,Furniture,Tables,3,3702.00,High
B-25856,2023-11-10,Carter,California,WE,Friday,10.00,4.00,Credit Card,Clothing,Skirt,2,12.00,Low
B-25856,2023-11-10,Carter,California,WE,Friday,257.00,127.00,Credit Card,Clothing,Dress,2,260.00,Low
B-25856,2023-11-10,Carter,California,WE,Friday,48.00,42.00,Credit Card,Clothing,Dress,1,6.00,Low
B-25856,2023-11-10,Carter,California,WE,Friday,689.00,119.80,Credit Card,Clothing,Dress,5,2846.00,High
B-25856,2023-11-10,Carter,California,WE,Friday,74.00,15.00,Eft,Clothing,Scarf,3,177.00,Low
B-26046,2023-03-04,Wood,California,WE,Saturday,32.00,3.63,Credit Card,Clothing,Hat,8,226.96,Low
B-25964,2023-01-20,Salazar,California,WE,Friday,1270.00,65.82,Eft,Electronics,Electronic Games,11,13245.98,High
B-25964,2023-01-20,Salazar,California,WE,Friday,199.00,49.75,Eft,Clothing,Scarf,4,597.00,Low
B-25964,2023-01-20,Salazar,California,WE,Friday,346.00,79.33,Credit Card,Furniture,Chairs,3,800.01,Low
B-25964,2023-01-20,Salazar,California,WE,Friday,89.00,16.60,Credit Card,Clothing,Dress,5,362.00,Low
B-25858,2023-11-13,Barker,California,WE,Monday,219.00,219.00,Credit Card,Clothing,Dress,1,0.00,Loss
B-25858,2023-11-13,Barker,California,WE,Monday,22.00,4.67,Credit Card,Clothing,Hat,3,51.99,Low
B-25858,2023-11-13,Barker,California,WE,Monday,223.00,98.00,Credit Card,Furniture,Bookcases,2,250.00,Low
B-25858,2023-11-13,Barker,California,WE,Monday,245.00,107.50,Credit Card,Clothing,Dress,2,275.00,Low
B-25858,2023-11-13,Barker,California,WE,Monday,2457.00,162.91,Eft,Electronics,Electronic Games,11,25234.99,High
B-25858,2023-11-13,Barker,California,WE,Monday,27.00,11.00,Credit Card,Clothing,Skirt,2,32.00,Low
B-25858,2023-11-13,Barker,California,WE,Monday,29.00,4.50,Credit Card,Clothing,Skirt,4,98.00,Low
B-25858,2023-11-13,Barker,California,WE,Monday,294.00,26.43,Eft,Electronics,Accessories,7,1872.99,Avg
